date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-09-12,1066.0,1109.98,1099.0,1066.0,41211.33,29.48,2.76,1114.276,1126.115,1108.345,40942.17,37385.21,37563.02
2019-09-11,1119.22,1119.97,1069.52,1068.0,81716.54,-54.33,-4.83,1123.276,1127.525,1105.64,39286.08,36197.12,36864.33
2019-09-10,1134.3,1135.0,1123.85,1120.01,26227.07,-12.67,-1.11,1134.374,1130.584,1104.33,29662.81,32726.43,34849.05
2019-09-09,1145.0,1148.0,1136.52,1135.0,29379.34,-5.97,-0.52,1137.604,1129.099,1099.035,30314.42,35320.15,35054.18
2019-09-06,1144.5,1146.15,1142.49,1131.0,26176.59,-1.51,-0.13,1138.052,1125.742,1093.141,30085.41,37232.0,37660.16
2019-09-05,1129.0,1144.9,1144.0,1128.0,32930.84,18.99,1.69,1137.954,1124.503,1084.118,33828.25,38633.57,37774.41
2019-09-04,1140.8,1142.91,1125.01,1120.11,33600.22,-14.99,-1.31,1131.774,1120.503,1075.502,33108.17,39099.57,38068.28
2019-09-03,1140.0,1151.02,1140.0,1128.56,29485.09,1.24,0.11,1126.794,1114.602,1066.501,35790.06,38246.21,37731.77
2019-09-02,1139.99,1144.98,1138.76,1129.0,28234.33,-3.24,-0.28,1120.594,1107.602,1056.816,40325.88,38157.91,38457.07
2019-08-30,1125.0,1146.0,1142.0,1123.0,44890.77,28.9,2.6,1113.432,1099.314,1047.0,44378.59,38621.24,38884.07
2019-08-29,1105.0,1118.18,1113.1,1092.5,29330.42,12.99,1.18,1111.052,1090.574,1037.622,43438.9,37740.83,38625.5
2019-08-28,1109.0,1123.19,1100.11,1083.01,47009.67,-8.89,-0.8,1109.232,1083.754,1029.932,45090.97,37531.53,38913.46
2019-08-27,1117.0,1131.31,1109.0,1109.0,52164.21,6.05,0.55,1102.41,1078.076,1023.557,40702.36,36971.66,37689.28
2019-08-26,1113.0,1128.0,1102.95,1096.68,48497.89,-27.15,-2.4,1094.61,1068.971,1017.053,35989.94,34788.21,36057.97
2019-08-23,1105.0,1133.56,1130.1,1095.62,40192.3,26.1,2.36,1085.196,1060.539,1010.726,32863.88,38088.31,34982.14
2019-08-22,1072.99,1104.0,1104.0,1070.0,37590.78,38.0,3.56,1070.096,1043.732,1002.473,32042.77,36915.25,34295.91
2019-08-21,1070.1,1076.97,1066.0,1061.66,25066.62,-4.0,-0.37,1058.276,1030.5,995.423,29972.09,37036.99,34329.15
2019-08-20,1055.0,1073.68,1070.0,1050.0,28602.13,14.12,1.34,1053.742,1018.4,989.441,33240.96,37217.32,35414.38
2019-08-19,1061.0,1069.98,1055.88,1049.05,32867.58,1.28,0.12,1043.332,1006.03,983.64,33586.47,38756.23,35608.47
2019-08-16,1049.84,1075.58,1054.6,1041.0,36086.73,9.7,0.93,1035.882,994.685,978.697,43312.74,39146.9,35371.37
2019-08-15,1028.0,1046.48,1044.9,1028.0,27237.39,1.57,0.15,1017.368,984.67,973.76,41787.74,39510.17,34967.77
2019-08-14,1030.02,1051.9,1043.33,1030.02,41410.95,25.38,2.49,1002.724,976.11,968.89,44101.89,40295.38,35568.55
2019-08-13,1016.16,1026.0,1017.95,1010.68,30329.7,-0.68,-0.07,983.058,969.037,964.899,41193.69,38406.91,34771.45
2019-08-12,1010.31,1020.1,1018.63,995.01,81498.95,56.6,5.88,968.728,965.135,962.401,43925.98,37327.73,34917.22
2019-08-09,978.5,980.95,962.03,958.99,28461.7,-9.65,-0.99,953.488,960.913,960.266,34981.06,31875.97,33835.8
2019-08-08,953.5,974.0,971.68,952.0,38808.13,26.68,2.82,951.972,961.213,961.469,37232.6,31676.56,33821.4
2019-08-07,949.5,955.53,945.0,945.0,26869.98,-1.3,-0.14,949.496,960.345,961.96,36488.87,31621.32,33406.71
2019-08-06,931.0,948.0,946.3,923.8,43991.16,3.87,0.41,955.016,960.481,963.836,35620.12,33611.44,33471.54
2019-08-05,945.0,954.0,942.43,940.0,36774.31,-12.02,-1.26,961.542,961.249,965.324,30729.48,32460.72,32858.15
2019-08-02,944.0,957.98,954.45,943.0,39719.4,-4.85,-0.51,968.338,962.708,967.446,28770.88,31595.84,32700.11
2019-08-01,976.51,977.0,959.3,953.02,35089.52,-13.3,-1.37,970.454,962.85,969.714,26120.52,30425.38,33215.78
2019-07-31,975.0,981.77,972.6,966.59,22526.2,-6.33,-0.65,971.194,961.67,970.809,26753.76,30841.72,33772.13
2019-07-30,976.5,983.0,978.93,971.0,19537.97,2.52,0.26,965.946,960.76,971.574,31602.76,31135.99,36002.79
2019-07-29,962.03,979.5,976.41,960.01,26981.33,11.38,1.18,960.956,959.667,973.878,34191.95,32506.71,36978.95
2019-07-26,961.97,971.0,965.03,958.55,26467.59,2.03,0.21,957.078,959.619,976.65,34420.79,35795.62,38246.74
2019-07-25,945.97,963.36,963.0,938.15,38255.7,16.64,1.76,955.246,961.725,977.599,34730.23,35966.25,38477.78
2019-07-24,958.31,959.9,946.36,944.69,46771.2,-7.62,-0.8,952.146,963.575,979.266,34929.68,35192.1,38963.92
2019-07-23,962.3,962.59,953.98,943.86,32483.95,-3.04,-0.32,955.574,967.191,980.941,30669.21,33331.65,38104.77
2019-07-22,960.0,964.0,957.02,950.25,28125.49,1.15,0.12,958.378,969.399,982.391,30821.47,33255.58,39045.37
2019-07-19,955.0,960.8,955.87,948.0,28014.81,8.37,0.88,962.16,972.183,983.895,37170.45,33804.39,39928.05
2019-07-18,961.5,963.0,947.5,947.18,39252.95,-16.0,-1.66,968.204,976.578,984.917,37202.26,36006.18,40823.65
2019-07-17,968.0,972.99,963.5,962.13,25468.87,-4.5,-0.47,975.004,979.948,986.292,35454.51,36702.55,42224.6
2019-07-16,975.45,982.3,968.0,965.0,33245.24,-7.93,-0.81,978.808,982.388,984.717,35994.08,40869.59,43637.48
2019-07-15,967.8,980.1,975.93,951.13,59870.4,-10.16,-1.03,980.42,988.088,982.167,35689.69,41451.18,43447.28
2019-07-12,981.3,991.5,986.09,980.01,28173.85,4.59,0.47,982.206,993.681,978.951,30438.32,40697.86,42092.22
2019-07-11,989.96,998.38,981.5,976.0,30514.19,-1.02,-0.1,984.952,993.472,975.296,34810.09,40989.32,42806.28
2019-07-10,980.93,990.58,982.52,977.0,28166.7,6.46,0.66,984.892,994.957,971.721,37950.59,42735.74,42926.44
2019-07-09,979.3,989.0,976.06,968.35,31723.32,-8.8,-0.89,985.968,994.691,967.93,45745.11,42877.89,43405.47
2019-07-08,995.05,997.9,984.86,975.0,33613.52,-14.96,-1.5,995.756,995.383,964.672,47212.66,44835.15,45824.63
2019-07-05,986.0,1006.0,999.82,976.3,50032.71,18.62,1.9,1005.156,995.607,958.983,50957.41,46051.72,46919.08
2019-07-04,985.8,990.8,981.2,971.22,46216.68,-6.7,-0.68,1001.992,993.255,952.098,47168.54,45641.13,46156.78
2019-07-03,1020.0,1023.0,987.9,981.5,67139.32,-37.1,-3.62,1005.022,992.635,946.618,47520.9,47746.65,45549.32
2019-07-02,1025.0,1029.5,1025.0,1016.0,39061.09,-6.86,-0.67,1003.414,987.046,940.988,40010.67,46405.36,44176.82
2019-07-01,1004.52,1035.6,1031.86,1000.22,52337.23,47.86,4.86,995.01,976.246,934.338,42457.64,45443.39,43947.73
2019-06-28,985.99,988.88,984.0,971.33,31088.4,2.19,0.22,986.058,964.22,927.245,41146.04,43486.57,43120.56
2019-06-27,985.0,1001.0,996.35,981.12,47978.45,16.49,1.68,984.518,957.12,923.31,44113.71,44623.24,43578.5
2019-06-26,985.0,985.0,979.86,971.22,29588.18,-3.12,-0.32,980.248,948.485,919.088,47972.41,43117.13,44461.93
2019-06-25,992.0,999.0,982.98,967.0,51295.95,-4.12,-0.42,970.678,941.169,914.495,52800.05,43933.05,46721.16
2019-06-24,978.3,999.69,987.1,975.0,45779.2,10.8,1.11,957.482,933.96,909.296,48429.14,46814.1,46114.45
2019-06-21,969.97,984.49,976.3,964.5,45926.75,1.3,0.13,942.382,922.358,903.866,45827.11,47786.43,46027.2
2019-06-20,932.5,975.5,975.0,932.2,67271.97,42.99,4.61,929.722,910.941,898.101,45132.76,46672.44,46633.79
2019-06-19,940.0,946.7,932.01,932.01,53726.4,15.01,1.64,916.722,900.601,893.751,38261.85,43351.98,44872.27
2019-06-18,917.0,920.0,917.0,902.6,29441.38,5.4,0.59,911.66,894.93,891.901,35066.05,41948.29,44305.23
2019-06-17,907.0,926.94,911.6,906.02,32769.03,-1.4,-0.15,910.438,892.43,890.299,45199.07,42452.07,45053.57
2019-06-14,911.0,932.3,913.0,910.02,42455.04,3.0,0.33,902.334,890.27,890.058,49745.75,42754.55,45907.19
2019-06-13,910.0,912.3,910.0,897.0,32917.42,3.3,0.36,892.16,889.5,890.904,48212.11,42533.77,46011.45
2019-06-12,906.22,910.99,906.7,894.0,37747.4,-4.19,-0.46,884.48,889.691,891.754,48442.1,45806.72,47521.79
2019-06-11,876.0,915.61,910.89,875.0,80106.44,39.81,4.57,878.2,887.821,890.747,48830.52,49509.26,48633.58
2019-06-10,857.98,878.95,871.08,840.0,55502.46,8.95,1.04,874.422,884.632,889.803,39705.08,45414.8,46960.11
2019-06-06,875.62,875.77,862.13,858.0,34786.85,-9.47,-1.09,878.206,885.374,891.605,35763.35,44267.97,48180.36
2019-06-05,884.0,886.26,871.6,870.0,34067.36,-3.7,-0.42,886.84,885.261,891.439,36855.42,46595.14,51018.27
2019-06-04,895.0,895.43,875.3,871.0,39689.48,-16.7,-1.87,894.902,886.901,892.079,43171.34,46392.57,53409.05
2019-06-03,892.0,901.35,892.0,886.28,34479.24,2.0,0.23,897.442,888.871,892.814,50187.99,46662.18,56466.44
2019-05-31,900.53,906.99,890.0,890.0,35793.8,-15.3,-1.69,894.842,888.167,893.514,51124.53,47655.06,61497.47
2019-05-30,910.0,919.99,905.3,891.22,40247.2,-6.61,-0.72,892.542,889.846,897.714,52772.59,49059.84,61504.94
2019-05-29,888.01,924.95,911.91,888.01,65646.96,23.91,2.69,883.682,892.307,901.047,56334.87,49489.13,62121.19
2019-05-28,877.99,907.49,888.0,875.02,74772.77,9.0,1.02,878.9,893.816,902.702,49613.8,49236.86,61002.73
2019-05-27,879.1,882.99,879.0,860.05,39161.91,0.5,0.06,880.3,893.673,905.92,43136.37,47757.9,59254.15
2019-05-24,865.0,885.0,878.5,864.44,44034.09,17.5,2.03,881.492,894.973,910.47,44185.59,48505.42,59557.41
2019-05-23,881.0,883.98,861.0,856.22,58058.63,-27.0,-3.04,887.15,897.835,915.293,45347.09,52092.75,59798.31
2019-05-22,894.98,904.0,888.0,880.0,32041.58,-7.0,-0.78,900.932,897.616,919.703,42643.39,55441.4,58926.77
2019-05-21,885.0,910.0,895.0,872.02,42385.65,10.04,1.14,908.732,897.256,922.931,48859.92,60425.54,58943.68
2019-05-20,900.0,900.0,884.96,871.0,44407.99,-21.83,-2.41,907.046,896.756,925.456,52379.42,66270.7,57804.33
2019-05-17,927.02,932.3,906.79,900.1,49841.61,-23.12,-2.49,908.454,898.86,928.808,52825.26,75339.87,57621.98
2019-05-16,919.0,932.0,929.91,905.0,44540.12,2.91,0.31,908.52,905.581,930.463,58838.41,73950.03,57451.07
2019-05-15,890.24,933.0,927.0,890.24,63124.25,40.43,4.56,894.3,909.787,929.318,68239.42,74753.25,57500.2
